NeighborhoodID,Neighborhood,City,NeighborhoodPopulation,NeighborhoodHouseholds,MedianIncome,PublicTransportPrct,WalkBiketoWorkPrct,UnemploymentPrct,AgeBelow18Prct,Age18To34Prct,Age35To54Prct,Age55To75Prct,AgeAbove75Prct
77,Shingle Creek,Minneapolis,3278,1099,64120,0.11349999999999999,0.1216,0.0434,0.2669,0.22359999999999997,0.3164,0.1568,0.0363
78,South Uptown,Minneapolis,6191,3224,66735,0.1979,0.1515,0.0184,0.06799999999999999,0.5304000000000001,0.1839,0.1412,0.0764
79,St. Anthony East,Minneapolis,2049,1089,47538,0.1875,0.1796,0.0248,0.1162,0.3567,0.2602,0.1855,0.08149999999999999
80,St Anthony Park,St Paul,8358,3442,60069,0.1407,0.242,0.045899999999999996,0.1331,0.3981,0.2146,0.1908,0.0633
81,St. Anthony West,Minneapolis,2671,1247,53412,0.1081,0.18760000000000002,0.0131,0.1003,0.32480000000000003,0.252,0.1997,0.12329999999999999
82,Standish,Minneapolis,6483,2846,74000,0.1545,0.1162,0.031400000000000004,0.2065,0.22870000000000001,0.3075,0.2025,0.054599999999999996
83,Steven's Square - Loring Heights,Minneapolis,3794,2748,36056,0.2104,0.2979,0.0141,0.041,0.5822999999999999,0.18,0.1892,0.0075
84,Summit Hill Association,St Paul,7007,3257,66250,0.0616,0.152,0.026099999999999998,0.1773,0.26780000000000004,0.2802,0.22999999999999998,0.044800000000000006
85,Summit-University,St Paul,17756,7398,54458,0.1332,0.1449,0.0308,0.23559999999999998,0.3119,0.2389,0.173,0.0406
86,Sumner - Glenwood,Minneapolis,1916,751,33170,0.1103,0.0962,0.0964,0.4,0.2619,0.18999999999999997,0.1221,0.026
87,Tangletown,Minneapolis,4605,1878,147906,0.0942,0.1539,0.037000000000000005,0.2229,0.2248,0.282,0.22300000000000003,0.047400000000000005
88,Union Park,St Paul,16326,6927,64475,0.1362,0.1551,0.046799999999999994,0.1549,0.3928,0.2309,0.17509999999999998,0.0463
89,University of Minnesota,Minneapolis,1044,189,26103,0.1654,0.479,0.0929,0.0456,0.8919999999999999,0.0361,0.018,0.0082
90,Ventura Village,Minneapolis,6762,2327,25364,0.23879999999999998,0.20800000000000002,0.0917,0.30779999999999996,0.2977,0.2371,0.1242,0.03319999999999999
91,Victory,Minneapolis,4560,1989,49439,0.1038,0.0713,0.0472,0.1983,0.22190000000000001,0.31310000000000004,0.2234,0.0434
92,Waite Park,Minneapolis,5602,2382,68295,0.0596,0.1092,0.0318,0.1963,0.27780000000000005,0.2851,0.1955,0.045200000000000004
93,Webber - Camden,Minneapolis,5559,2111,45615,0.1769,0.09630000000000001,0.0919,0.293,0.22300000000000003,0.25880000000000003,0.19970000000000002,0.0257
94,Wenonah,Minneapolis,4736,1845,97518,0.0858,0.0818,0.0149,0.28490000000000004,0.2546,0.2651,0.1742,0.0214
95,West Calhoun,Minneapolis,2517,1444,82375,0.1084,0.1222,0.0379,0.0794,0.4925,0.20500000000000002,0.1635,0.0596
96,West 7th Federation/Fort Road,St Paul,11985,5590,65577,0.0742,0.13720000000000002,0.018000000000000002,0.1854,0.2626,0.2714,0.21230000000000002,0.06839999999999999
97,West Side Community Organization,St Paul,14594,5273,57318,0.061900000000000004,0.08900000000000001,0.0687,0.3034,0.2625,0.22899999999999998,0.17099999999999999,0.034199999999999994
98,Whittier,Minneapolis,14115,7193,38012,0.18100000000000002,0.21309999999999998,0.0437,0.1541,0.5181,0.2313,0.087,0.009400000000000002
99,Willard - Hay,Minneapolis,9597,3030,40980,0.1175,0.09390000000000001,0.1026,0.30269999999999997,0.2753,0.2431,0.1366,0.0422
100,Windom,Minneapolis,5416,1998,138497,0.0687,0.10339999999999999,0.0302,0.24750000000000003,0.24,0.29009999999999997,0.1749,0.047499999999999994
101,Windom Park,Minneapolis,5612,2758,70725,0.09880000000000001,0.1286,0.0245,0.1546,0.3112,0.2586,0.2317,0.0441
